id	filename	md5	size	state
091d2c9e-a8cb-4212-a434-7c7d4fd75f7b	091d2c9e-a8cb-4212-a434-7c7d4fd75f7b/26fdaa75-cea5-4355-b3b1-6b5c2c75e542.rna_seq.augmented_star_gene_counts.tsv	e0a3d0c73a4ecadaaeb67d08afd25ca3	4239205	validated
1c9ada61-d900-4498-9ef1-14a91212faf6	1c9ada61-d900-4498-9ef1-14a91212faf6/9e504ab4-85a0-465d-be52-0c28ed83e5f8.rna_seq.augmented_star_gene_counts.tsv	4bd120d884095948f8cc7ad075e8d008	4224362	validated
20daa4af-7d88-42c8-9279-34372e687e5d	20daa4af-7d88-42c8-9279-34372e687e5d/9446312e-b87c-411c-b9a3-a19603eff965.rna_seq.augmented_star_gene_counts.tsv	b8c63fb95772121ef09e0c404fc97c80	4218156	validated
218eb2f2-24b1-4e41-9071-26ed97a2edc1	218eb2f2-24b1-4e41-9071-26ed97a2edc1/5eef868d-7c7f-42e8-aabf-ce3f75405c7a.rna_seq.augmented_star_gene_counts.tsv	df3f48d8f8402b70c03f22efc30844dc	4248267	validated
254bed99-398d-4c34-a804-67516d257e70	254bed99-398d-4c34-a804-67516d257e70/c63de407-f025-4939-9633-6550724be88c.rna_seq.augmented_star_gene_counts.tsv	82f16f580abc01b23457c00bbcd85eb4	4210733	validated
27450388-ffc7-4812-b5b4-9819b0a74a0b	27450388-ffc7-4812-b5b4-9819b0a74a0b/7b07706f-a1b4-4f18-a276-0822b578cc40.rna_seq.augmented_star_gene_counts.tsv	0647cf8783a26fa5ca57eaaefedc2b3c	4226093	validated
2e0c7cfb-2794-4c86-b43e-8215c39186d8	2e0c7cfb-2794-4c86-b43e-8215c39186d8/882d1be3-1f82-41e7-8538-1ef513efef32.rna_seq.augmented_star_gene_counts.tsv	35491666b4f49853c1524df9a52c2418	4264467	validated
2e5071ce-d8cf-46e5-9cc0-91353f0d643c	2e5071ce-d8cf-46e5-9cc0-91353f0d643c/22002e84-1d7a-4f93-9934-9d74f45195c0.rna_seq.augmented_star_gene_counts.tsv	c99f1da70059109c99a915d088f2db92	4236416	validated
306febc7-f9b2-493a-9520-b9700d0f3e47	306febc7-f9b2-493a-9520-b9700d0f3e47/04c4affd-ca5d-4ea4-95d1-a6502e80d1af.rna_seq.augmented_star_gene_counts.tsv	2f1039985e94678936c051c4119da1cd	4247685	validated
30e51b69-6778-4125-bb18-86694d42a6e9	30e51b69-6778-4125-bb18-86694d42a6e9/8bd7c2cf-7960-46ca-9373-1c19557dd0aa.rna_seq.augmented_star_gene_counts.tsv	f342cff10b7d2c71e57a90c5a91855f9	4241149	validated
371fd35f-eb3c-4346-8197-8ecf4c9ce220	371fd35f-eb3c-4346-8197-8ecf4c9ce220/27266d85-3f2c-489f-9e5d-663d94ae9f55.rna_seq.augmented_star_gene_counts.tsv	c470529c2f24cb343aa091a3830e091b	4244098	validated
3976128b-36ba-4bf0-8121-867e89aba2c9	3976128b-36ba-4bf0-8121-867e89aba2c9/fec7a02d-1d67-412d-9d69-df7124864e7a.rna_seq.augmented_star_gene_counts.tsv	9fd77741af4d59ab2697eb01c9cf90d9	4237015	validated
3c9960fd-92f3-4bab-9771-933c95edc37f	3c9960fd-92f3-4bab-9771-933c95edc37f/fd713184-4bb4-4e1b-a3b8-636273ee6ccc.rna_seq.augmented_star_gene_counts.tsv	414c6c615900b8785fb01b00f869bd59	4225614	validated
3e752bb7-c91d-46f8-ba39-a40e26357b4d	3e752bb7-c91d-46f8-ba39-a40e26357b4d/32dd8db9-1e43-497e-a35a-664d7d15ed60.rna_seq.augmented_star_gene_counts.tsv	ea16407248bc5498807d4a096f857771	4248639	validated
4089d037-ab25-47a6-be68-19742473cbc6	4089d037-ab25-47a6-be68-19742473cbc6/50c308c9-922a-4083-ae09-e5e4d8c437af.rna_seq.augmented_star_gene_counts.tsv	168c5577e8da0154d7e4a2d823f394c2	4242766	validated
443ccb95-79d0-47ea-9915-18d5bc10eac4	443ccb95-79d0-47ea-9915-18d5bc10eac4/ec3a68ca-1006-4f2f-95b5-74d506ceda86.rna_seq.augmented_star_gene_counts.tsv	ecb819733c70c92f3d0f2fded167360c	4231505	validated
45d4b468-9089-46fd-8b5e-ad80a5148abd	45d4b468-9089-46fd-8b5e-ad80a5148abd/6e2e3178-73ad-4590-a56b-bb7fd9984acd.rna_seq.augmented_star_gene_counts.tsv	793334bac3ad933f56e75de2b5cccf81	4251058	validated
45fe5e83-1e4a-4e0a-ac03-62ef32a90e77	45fe5e83-1e4a-4e0a-ac03-62ef32a90e77/6b51d2ce-51ed-4b34-890d-9f83d363118c.rna_seq.augmented_star_gene_counts.tsv	31eeb6845913da77fef24ca097fc7eee	4246904	validated
49453e81-56b8-43b7-b56f-6195038a1142	49453e81-56b8-43b7-b56f-6195038a1142/ed30ab10-5d65-4aeb-ba72-ec3e9b768cd3.rna_seq.augmented_star_gene_counts.tsv	48a773f9dc82c8e4558bd66038da6bea	4212895	validated
4b2e6f07-59e6-47c0-85ea-1e73f3354a01	4b2e6f07-59e6-47c0-85ea-1e73f3354a01/27e24fc6-af40-4152-8424-a9d365c717d9.rna_seq.augmented_star_gene_counts.tsv	c0062d3812c06633f6f9b9372e354ce8	4231730	validated
4bd86df0-6768-4741-8d01-51fe34dd57fd	4bd86df0-6768-4741-8d01-51fe34dd57fd/bd1e3dcd-31c4-4f7f-8e99-9ad0d1050294.rna_seq.augmented_star_gene_counts.tsv	1e91674789dcd6a6bcc97d8171893ad9	4253061	validated
51f545d2-3da2-46c1-9ed4-204133701dad	51f545d2-3da2-46c1-9ed4-204133701dad/ebc79b86-12cb-4a5b-b0e4-4d1017ef22f4.rna_seq.augmented_star_gene_counts.tsv	4ec5b81c26d790a1025a3e2de08d3327	4210246	validated
656fd74d-49d8-40a5-8eb9-dac0fbe4ea2d	656fd74d-49d8-40a5-8eb9-dac0fbe4ea2d/131b98d5-aaf4-4a6c-bb96-c33895cd814a.rna_seq.augmented_star_gene_counts.tsv	09aa4903a42a22afa8ffbef01f6e7014	4253351	validated
69e97c5b-4c8a-4710-a0f6-48ebfd917f5a	69e97c5b-4c8a-4710-a0f6-48ebfd917f5a/af276b15-2dc4-4724-bbf5-1be8224b7f73.rna_seq.augmented_star_gene_counts.tsv	a52ccf5219e9acd92ddebf65affe68e2	4214387	validated
6c66987a-38f6-4125-8ac1-aa55921fcc26	6c66987a-38f6-4125-8ac1-aa55921fcc26/f77f77e1-073c-4f6a-bc48-1ba165ecc024.rna_seq.augmented_star_gene_counts.tsv	350a2f170bf1813048d9831ce0acb2d1	4233750	validated
6d0c282d-43d7-44fb-94e6-25771385e326	6d0c282d-43d7-44fb-94e6-25771385e326/d4422306-b68c-4687-9131-02a60a2d4c42.rna_seq.augmented_star_gene_counts.tsv	552ee233c6cb65b341ebd50ae1236118	4263467	validated
7181e057-0ec7-410b-b0fe-ff8de3d14d98	7181e057-0ec7-410b-b0fe-ff8de3d14d98/d1b10396-1656-4963-8fd0-7d7368c24dd2.rna_seq.augmented_star_gene_counts.tsv	cbdf59033666adb0a79bee58b2bd3809	4259835	validated
72db648d-0ff7-418b-b7bd-590eda282f74	72db648d-0ff7-418b-b7bd-590eda282f74/f0395da6-5f12-4a35-8aa6-0b1b47a2acba.rna_seq.augmented_star_gene_counts.tsv	b7ee69b362188669c7924dabfb628b0d	4245810	validated
736227d9-3cee-40ed-bdec-0e88968ef179	736227d9-3cee-40ed-bdec-0e88968ef179/7623e22f-3401-47b3-be94-23f5da20ee0d.rna_seq.augmented_star_gene_counts.tsv	f1a74a7251cb845a2daba64797c8aabc	4217863	validated
7429ab01-a223-4be3-9b41-99100ea06d99	7429ab01-a223-4be3-9b41-99100ea06d99/e860f314-beb1-4dfd-adb8-e188f13ca1c8.rna_seq.augmented_star_gene_counts.tsv	18faa9f923350f09f5f136d780c74582	4248016	validated
765f26d4-120a-459d-90c7-74a8532b407c	765f26d4-120a-459d-90c7-74a8532b407c/fa7777c7-e04a-41db-9ade-0c875c62411f.rna_seq.augmented_star_gene_counts.tsv	6f458d0bdc6812915432f06e1019dd20	4228472	validated
7666bfbe-6803-4b5d-b3b4-e9069fc4bea5	7666bfbe-6803-4b5d-b3b4-e9069fc4bea5/c18d9cb5-17ca-4c49-bd72-4b4c6184fba3.rna_seq.augmented_star_gene_counts.tsv	599701dbdeae7d240828cacbe37318a4	4220158	validated
7a26df49-5d12-4dc2-b686-07e015a415b0	7a26df49-5d12-4dc2-b686-07e015a415b0/1e3d606d-e374-460c-a046-b6c98aa8256b.rna_seq.augmented_star_gene_counts.tsv	4227d00c4ec12db70520d68161741ce9	4235093	validated
7a2e7511-e77e-4805-82a3-cb9f5939ed26	7a2e7511-e77e-4805-82a3-cb9f5939ed26/735e3d15-4df3-4162-b819-1ebc1991bfce.rna_seq.augmented_star_gene_counts.tsv	de241e6043b73a7f78859994853a80b2	4233266	validated
7a59e84b-2d4a-4148-966d-7eadeb61ef38	7a59e84b-2d4a-4148-966d-7eadeb61ef38/9fde5e1d-5b86-411d-b194-3eb3c6305ebd.rna_seq.augmented_star_gene_counts.tsv	9c21043c5638dba7273a01f2c1e1173c	4242753	validated
7abd9747-a947-4b15-b51c-c82cda9f065c	7abd9747-a947-4b15-b51c-c82cda9f065c/731c955b-e1e8-462a-9c94-64310f2d7eae.rna_seq.augmented_star_gene_counts.tsv	1622584397c678c7e0361519fdaec87b	4244173	validated
7c802f6c-03bd-4612-835f-c82f6b8f2137	7c802f6c-03bd-4612-835f-c82f6b8f2137/9f938aa7-9fc1-4893-aee4-15ab668b9260.rna_seq.augmented_star_gene_counts.tsv	14aaa84fb2138c7d738d057b693f80a9	4250317	validated
7cf36ebf-b16e-49ac-bcc4-b127b1f2a3da	7cf36ebf-b16e-49ac-bcc4-b127b1f2a3da/3dde8e24-6a2b-49ab-b4df-c058f18a3851.rna_seq.augmented_star_gene_counts.tsv	589cd84827918fc45ee16368ada13790	4252365	validated
81d92351-c619-4585-9281-de33eaaabba4	81d92351-c619-4585-9281-de33eaaabba4/98d020b1-0467-4131-a3cc-64d288d0e9e7.rna_seq.augmented_star_gene_counts.tsv	6517fb7e1116fc25434382dddce15503	4219786	validated
